2022-04-05 07:23:31.809 UTC [20] LOG:  database system was interrupted; last known up at 2022-04-04 09:03:56 UTC
2022-04-05 07:23:39.592 UTC [20] LOG:  database system was not properly shut down; automatic recovery in progress
2022-04-05 07:23:39.628 UTC [20] LOG:  redo starts at 0/166DEB8
2022-04-05 07:23:39.628 UTC [20] LOG:  invalid record length at 0/166DEF0: wanted 24, got 0
2022-04-05 07:23:39.628 UTC [20] LOG:  redo done at 0/166DEB8
2022-04-05 07:23:39.758 UTC [1] LOG:  database system is ready to accept connections
2022-04-05 07:27:56.485 UTC [27] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-05 07:27:56.486 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-05 07:27:56.587 UTC [27] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-05 07:27:56.607 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-05 07:27:56.617 UTC [27] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users"
2022-04-05 07:27:56.619 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-05 07:29:15.512 UTC [29] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-05 07:29:15.513 UTC [29] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-05 07:29:15.546 UTC [29] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-05 07:29:15.550 UTC [29] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-05 07:29:15.555 UTC [29] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users"
2022-04-05 07:29:15.573 UTC [29] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-05 07:29:35.194 UTC [30] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-05 07:29:35.195 UTC [30] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-05 07:29:35.208 UTC [30] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-05 07:29:35.210 UTC [30] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-05 07:29:35.218 UTC [30] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users"
2022-04-05 07:29:35.236 UTC [30] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-05 07:36:40.608 UTC [38] WARNING:  could not open statistics file "pg_stat_tmp/global.stat": Operation not permitted
2022-04-05 07:37:58.573 UTC [40] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-05 07:37:58.574 UTC [40] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-05 07:37:58.614 UTC [40] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-05 07:37:58.617 UTC [40] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-05 07:37:58.622 UTC [40] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users"
2022-04-05 07:37:58.641 UTC [40] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-05 07:38:27.048 UTC [41] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-05 07:38:27.049 UTC [41] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-05 07:38:27.087 UTC [41] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-05 07:38:27.093 UTC [41] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-05 07:38:27.099 UTC [41] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users"
2022-04-05 07:38:27.117 UTC [41] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-05 07:38:28.037 UTC [42] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-05 07:38:28.037 UTC [42] LOG:  statement: DEALLOCATE pdo_stmt_00000001
