2022-05-06 19:40:26.725 UTC [20] LOG:  database system was interrupted; last known up at 2022-05-02 12:07:39 UTC
2022-05-06 19:40:28.873 UTC [20] LOG:  database system was not properly shut down; automatic recovery in progress
2022-05-06 19:40:28.901 UTC [20] LOG:  redo starts at 0/1705C70
2022-05-06 19:40:28.901 UTC [20] LOG:  invalid record length at 0/1705D50: wanted 24, got 0
2022-05-06 19:40:28.901 UTC [20] LOG:  redo done at 0/1705D18
2022-05-06 19:40:28.933 UTC [1] LOG:  database system is ready to accept connections
2022-05-06 20:02:23.761 UTC [27] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='movies'
2022-05-06 20:02:23.763 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-05-06 20:02:23.826 UTC [27] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='movies' ORDER BY c.ordinal_position
2022-05-06 20:02:23.841 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-05-06 20:02:23.848 UTC [27] LOG:  execute pdo_stmt_00000003: SELECT "movies"."id", "movies"."title", "movies"."year", "movies"."director", "movies"."plot", "movies"."country" FROM "public"."movies"
2022-05-06 20:02:23.860 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-05-06 20:02:30.487 UTC [29] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='movies'
2022-05-06 20:02:30.488 UTC [29] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-05-06 20:02:30.525 UTC [29] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='movies' ORDER BY c.ordinal_position
2022-05-06 20:02:30.529 UTC [29] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-05-06 20:02:30.532 UTC [29] LOG:  execute pdo_stmt_00000003: SELECT "movies"."id", "movies"."title", "movies"."year", "movies"."director", "movies"."plot", "movies"."country" FROM "public"."movies" WHERE "movies"."id" = '1' LIMIT $1
2022-05-06 20:02:30.532 UTC [29] DETAIL:  parameters: $1 = '1'
2022-05-06 20:02:30.533 UTC [29] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-05-06 20:02:30.535 UTC [29] LOG:  execute pdo_stmt_00000004: DELETE FROM "movies" WHERE id = $1
2022-05-06 20:02:30.535 UTC [29] DETAIL:  parameters: $1 = '1'
2022-05-06 20:02:30.535 UTC [29] LOG:  statement: DEALLOCATE pdo_stmt_00000004
