2022-04-13 20:06:07.490 UTC [20] LOG:  database system was shut down at 2022-04-13 20:05:54 UTC
2022-04-13 20:06:07.551 UTC [1] LOG:  database system is ready to accept connections
2022-04-13 20:06:27.111 UTC [27] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-13 20:06:27.112 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-13 20:06:27.179 UTC [27] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-13 20:06:27.226 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-13 20:06:27.232 UTC [27] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users"
2022-04-13 20:06:27.243 UTC [27] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-13 20:19:08.736 UTC [40] WARNING:  could not open statistics file "pg_stat_tmp/global.stat": Operation not permitted
2022-04-13 21:24:13.398 UTC [105] WARNING:  could not open statistics file "pg_stat_tmp/global.stat": Operation not permitted
2022-04-13 22:18:17.127 UTC [24] WARNING:  could not open statistics file "pg_stat_tmp/global.stat": Operation not permitted
2022-04-13 22:21:35.543 UTC [163] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-13 22:21:35.543 UTC [163] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-13 22:21:35.603 UTC [163] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-13 22:21:35.609 UTC [163] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-13 22:21:35.618 UTC [163] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users" WHERE "users"."email" = 'louise.doe@email.com' LIMIT $1
2022-04-13 22:21:35.618 UTC [163] DETAIL:  parameters: $1 = '1'
2022-04-13 22:21:35.621 UTC [163] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-13 22:23:08.847 UTC [165] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-13 22:23:08.848 UTC [165] LOG:  statement: DEALLOCATE pdo_stmt_00000001
