2022-04-15 19:25:44.383 UTC [20] LOG:  database system was interrupted; last known up at 2022-04-14 21:35:29 UTC
2022-04-15 19:25:46.585 UTC [21] FATAL:  the database system is starting up
2022-04-15 19:25:47.355 UTC [22] FATAL:  the database system is starting up
2022-04-15 19:25:49.052 UTC [23] FATAL:  the database system is starting up
2022-04-15 19:25:49.842 UTC [20] LOG:  database system was not properly shut down; automatic recovery in progress
2022-04-15 19:25:49.869 UTC [20] LOG:  redo starts at 0/166F480
2022-04-15 19:25:49.869 UTC [20] LOG:  invalid record length at 0/166F560: wanted 24, got 0
2022-04-15 19:25:49.869 UTC [20] LOG:  redo done at 0/166F528
2022-04-15 19:25:49.959 UTC [1] LOG:  database system is ready to accept connections
2022-04-15 19:25:52.117 UTC [30] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='users'
2022-04-15 19:25:52.118 UTC [30] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-15 19:25:52.261 UTC [30] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='users' ORDER BY c.ordinal_position
2022-04-15 19:25:52.290 UTC [30] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-15 19:25:52.299 UTC [30] LOG:  execute pdo_stmt_00000003: SELECT "users"."id", "users"."firstname", "users"."lastname", "users"."email", "users"."password" FROM "public"."users"
